449.0	94.0
442.0	94.0
435.0	96.0
430.0	98.0
421.0	101.0
415.0	104.0
409.0	107.0
402.0	111.0
397.0	114.0
391.0	118.0
387.0	122.0
382.0	126.0
377.0	131.0
373.0	136.0
369.0	140.0
365.0	144.0
360.0	150.0
355.0	157.0
350.0	166.0
347.0	174.0
344.0	181.0
342.0	190.0
340.0	199.0
339.0	208.0
339.0	221.0
341.0	230.0
344.0	237.0
348.0	248.0
351.0	256.0
355.0	265.0
361.0	274.0
366.0	278.0
368.0	282.0
375.0	291.0
382.0	296.0
391.0	303.0
398.0	309.0
405.0	314.0
413.0	320.0
421.0	325.0
428.0	329.0
438.0	336.0
446.0	344.0
449.0	353.0
449.0	361.0
445.0	367.0
441.0	371.0
436.0	375.0
430.0	378.0
422.0	381.0
416.0	383.0
409.0	385.0
404.0	386.0
397.0	387.0
391.0	388.0
385.0	388.0
376.0	388.0
368.0	387.0
361.0	386.0
355.0	384.0
350.0	381.0
346.0	380.0
341.0	377.0
336.0	373.0
332.0	370.0
326.0	365.0
322.0	360.0
319.0	355.0
317.0	352.0
315.0	348.0
313.0	343.0
311.0	338.0
308.0	334.0
305.0	327.0
302.0	321.0
300.0	317.0
299.0	310.0
297.0	303.0
297.0	296.0
297.0	290.0
297.0	284.0
299.0	276.0
300.0	271.0
301.0	264.0
303.0	257.0
306.0	251.0
307.0	243.0
309.0	237.0
309.0	232.0
309.0	225.0
309.0	219.0
310.0	213.0
309.0	208.0
308.0	203.0
307.0	199.0
306.0	196.0
304.0	193.0
300.0	188.0
298.0	186.0
290.0	187.0
284.0	191.0
281.0	197.0
281.0	205.0
283.0	214.0
283.0	221.0
280.0	224.0
276.0	222.0
272.0	218.0
270.0	212.0
268.0	205.0
267.0	198.0
266.0	193.0
266.0	187.0
267.0	181.0
268.0	175.0
269.0	169.0
270.0	162.0
271.0	156.0
273.0	149.0
275.0	141.0
275.0	135.0
275.0	132.0
269.0	126.0
267.0	125.0
258.0	127.0
251.0	132.0
246.0	138.0
242.0	151.0
240.0	159.0
241.0	168.0
242.0	176.0
244.0	184.0
